"name";"reviewNum";"searchKey";"givenKey";"address";"latitude";"longitude";"id"
"Ho Shun Primary School";16;"";"School";"Lei Muk Shue";22.379813;114.134188;178
"S.K.H. Chu Oi Primary School";27;"";"School";"45 Tung Chi St, Kwai Chung";22.370813;114.139812;179
"Shek Lei Catholic Secondary School";17;"";"Middle school";"23-31 On Chit St, Kwai Chung";22.371563;114.140437;180
"C.C.C. Chuen Yuen College";27;"";"Middle school";"Kwai Chung, Sheung Kok St, 15號葵涌邨";22.368813;114.128063;181
"Salvation Army Lei Muk Shue Nursery School";0;"";"Nursery school";"Lei Muk Shue, Wo Yi Hop Rd, B及C翼地下 Lei Muk Shue Estate Yeung Shue House";22.377438;114.135438;182
"Ju Ching Chu Secondary School (Kwai Chung)";18;"";"Middle school";"1-11 On Chit St, Kwai Chung";22.370437;114.140813;183
"English Excel School (Lai Chi Kok)";1;"";"School";"Lai Chi Kok, 深盛路9號宇晴匯商場2樓32和35號";22.334438;114.149813;213
"Lung Kong World Federation School Limited Lau Wong Fat Secondary School";24;"";"Middle school";"66 Sycamore St, Tai Kok Tsui";22.325812;114.162562;236
"Sharon Lutheran School";25;"";"Primary school";"18 Cherry St, Tai Kok Tsui";22.318938;114.164938;237
"Saint Louis School (Primary Section)";12;"";"Primary school";"179 Third St, Sai Wan";22.286188;114.138063;238
"英華女學校 Ying Wa Girl' s School";3;"";"School";"101 Castle Peak Rd, Sham Shui Po";22.333563;114.162438;240
"English Excel School (Olympic)";0;"";"School";"Tai Kok Tsui, 西九匯, 1/F, 101舖";22.318438;114.161688;242
"St. Francis Xavier's College";42;"";"Middle school";"45 Sycamore St, Tai Kok Tsui";22.325563;114.163187;243
"Po Leung Kuk Camões Tan Siu Lin Primary School";69;"";"Primary school";"6 Hoi Ting Rd, Mong Kok";22.315063;114.165438;244
"California School";3;"";"Private school";"Yau Ma Tei, 550 Nathan Road, Lung Ma Building, Yau Ma Tei, Kowloon, Hong Kong";22.314188;114.170688;245
"Hong Kong Christian Services Central Nursery School";4;"";"Nursery school";"557 Shanghai St, Mong Kok";22.318688;114.167938;246
"The ELCHK Faith Lutheran School";15;"";"Primary school";"Pak Tin, 培德街8號";22.335437;114.165313;247
"Salvation Army Hoi Fu Nursery School";0;"";"Nursery school";"Mong Kok, 九龍旺角西海富苑海寧閣B及C翼地下";22.316313;114.164313;248
"Yew Chung Kindergarten";8;"";"International school";"Yew Chung International Children's House, Waterloo Rd, Kowloon Tong";22.338813;114.178812;250
"Yaumati Kaifong Association School";13;"";"Primary school";"80 Public Square St, Yau Ma Tei";22.310187;114.171687;251
"Hong Kong Effective Careers Institute";0;"";"School";"Elaine Court, 1 Tung Choi St, Prince Edward";22.325188;114.168313;254
"Beacon Hill School 畢架山小學";0;"";"International school";"23 Ede Rd, Kowloon Tong";22.342187;114.177938;255
"Hong Kong Christian Services Shek Kip Mei Nursery School";3;"";"Nursery school";"Shek Kip Mei";22.333563;114.165313;258
"Salvation Army Lai Chi Kok Nursery School";0;"";"Nursery school";"168 Lai Chi Kok Rd, Prince Edward";22.325687;114.164688;260
"Maryknoll Fathers' School Secondary Section";23;"";"High school";"Tai Hang Tung, 2 To Yuen St, Kowloon Tong";22.334188;114.173313;261
"Saviour Lutheran School";0;"";"Special education school";"288 Tai Po Rd, Pak Tin";22.334687;114.163312;262
"St. Francis of Assisi's English Primary School";75;"";"Primary school";"58 Shek Kip Mei St, Sham Shui Po";22.330938;114.166563;264
"Parkview International Pre-School (Kowloon)";0;"";"Kindergarten";"1 Austin Rd W, West Kowloon";22.305313;114.162063;265
"Carmel Alison Lam Foundation Secondary School";27;"";"School";"4 Wah King Hill Rd, Kwai Chung";22.350688;114.133688;270
"奇力学校";0;"school";"School";"Pok Fu Lam Rd, Pok Fu Lam";22.267812;114.131688;280
"Ebenezer New Hope School";1;"school";"Special education school";"Pok Fu Lam, 薄扶林道131號";22.266688;114.131937;286
"香港大學數碼港學院";0;"school";"School";"Telegraph Bay, 數碼港道100號數碼港一座";22.262562;114.130187;287
"ESF Tennis Classes at Kennedy School";9;"school";"Tennis Instructor";"19 Sha Wan Dr, Sandy Bay, Pok Fu Lam";22.268188;114.125437;288
"陸陳漢語語言學校（數碼港）";0;"school";"School";"Pok Fu Lam, 數碼港道100號數碼港商場405號舖";22.260563;114.130063;289
"S.K.H. Lui Ming Choi Secondary School";18;"school";"Middle school";"57 Wah Fu Road , Wah Fu Estate, Pok Fu Lam";22.252937;114.134313;306
"Hong Kong Academy for Performing Arts - The School of Film and Tv";0;"school";"School";"139 Pok Fu Lam Rd, High West";22.262313;114.135313;310
"薄扶林公眾騎術學校及傷殘人學騎中心";1;"school";"School";"Pok Fu Lam, 水塘道";22.263312;114.135813;311
"The Woodland Pokfulam Pre-School";0;"school";"Preschool";"G/F Commercial Complex, Estate II, Wah Fu, Wah Fu Rd, Pok Fu Lam";22.253313;114.136063;317
"Pui Ying Secondary School";5;"school";"Middle school";"Waterfall Bay, 華富邨華富道55號";22.253562;114.135313;323
"Caritas Chong Yuet Ming Secondary School";6;"school";"Middle school";"Waterfall Bay, 薄扶林華富道53號";22.252812;114.135313;324
"Kellett School (Pokfulam Campus)";8;"school";"School";"Wah Fu Estate, 2 Wah Lok Path, Pok Fu Lam";22.252563;114.139688;328
"Salvation Army Wah Fu Nursery School";0;"school";"Kindergarten";"Waterfall Bay, Wah Cheung St, 7號, Wah Fu (II) Estate Wah Sang House, 樓123-127, 223-229";22.252563;114.136187;331
"Precious Blood Primary School (Wah Fu Estate)";25;"school";"Primary school";"27 Waterfall Bay Rd, Waterfall Bay";22.252438;114.134313;341
"S.K.H. Chi Fu Chi Nam Primary School";20;"school";"Primary school";"3 Chi Fu Cl, Pok Fu Lam";22.257188;114.138687;342
"St. Paul's College Primary School";23;"school";"Primary school";"777號 Victoria Rd, Pok Fu Lam";22.253938;114.138438;343
"Sunshine House International Pre-School (Chi Fu)";1;"school";"Kindergarten";"1 Chi Fu Rd, Pok Fu Lam";22.255313;114.139688;352
"Raimondi College";43;"school";"Middle school";"2 Robinson Rd, Mid-level";22.278313;114.153313;353
"The Woodland Peak Pre-School";0;"school";"Preschool";"81 Peak Rd, The Peak";22.265313;114.154438;354
"International Scholars Tuition School";1;"school";"Tutoring service";"255, 3/F, 257 Des Voeux Rd Central, Sheung Wan";22.286688;114.152063;356
"Discovery Montessori School (Central)";4;"school";"Kindergarten";"Mandarin Building, 35-43 Bonham Strand, Sheung Wan";22.285562;114.152563;357
"English Schools Foundation Peak School";0;"school";"Elementary school";"The Peak, 賓吉道20號";22.267313;114.152813;359
"Sunshine House International Pre-school - The Peak";0;"school";"Kindergarten";"118 Peak Rd, The Peak";22.270313;114.149938;360
"Starlit Voice";2;"school";"Drama school";"3 Arbuthnot Rd, Central";22.280188;114.154187;361
"St. Paul's Co-educational College";57;"school";"Middle school";"St. Paul's Co-educational College, Macdonnell Rd, Mid-level";22.275688;114.157937;363
"HKUST Business School Central";5;"school";"Business school";"Rm 1501- 02, 15/F, Hong Kong Club Building, 3A Chater Rd, Central";22.281563;114.161063;364
"Jean M. Wong School of Ballet (Central) 王仁曼芭蕾舞學校 (中環分校)";0;"school";"School";"Room 3101, 3103 17, Universal Trade Centre, 17-19 Caine Rd, Central";22.280188;114.154187;365
"S.K.H. Kei Yan Primary School";23;"school";"Primary school";"109 Hollywood Rd, Central";22.284062;114.151688;366
"ITS Tutorial School Central";8;"school";"Tutoring service";"Boc Group Life Assurance Tower, 134-136 Des Voeux Rd Central, Sheung Wan";22.285188;114.154563;367
"English Excel School (Mid-levels)";0;"school";"School";"Central, 亞畢諾道3號環貿中心703室";22.280188;114.154312;368
"Carmel School Of Hong Kong (elementary Section)";7;"school";"Primary school";"10 Borrett Rd, Mid-level";22.274563;114.163063;369
"Twinkle Dance Company (Central Branch)";11;"school";"Dance school";"403, 801 Lansing House, 41-47 Queen's Road Central, Central, Central";22.282687;114.155938;370
"German Swiss International School";24;"school";"International school";"German Swiss International School (The Peak Campus) Upper Building, 11 Guildford Rd, The Peak";22.265938;114.161562;371
"The Woodland Montessori Academy (Mid-Levels)";0;"school";"Preschool";"On Fung Building, G/F 3/F,, 110-118 Caine Rd, Mid-level";22.282687;114.150188;372
"Hong Kong Mandarin School";37;"school";"Language school";"40-42 Des Voeux Rd Central, Central";22.283188;114.156687;373
"Singapore International School - Secondary Section";0;"school";"School";"2 Police School Rd, Wong Chuk Hang";22.245188;114.167938;374
"天麟學校 Chamberlain Institute";0;"school";"Art school";"Central, 砵甸乍街10號5樓";22.283188;114.156188;375
"NAE Hong Kong Limited";0;"school";"School";"Central, Ice House St, 12, 2 St. George's Building";22.282063;114.158938;376
"Island School";43;"school";"International school";"20 Borrett Rd, Mid-level";22.273687;114.163563;377
"C & M A South Horizons Nursery School";0;"school";"Nursery school";"29 Yi Nam Rd, Ap Lei Chau";22.243813;114.150062;378
"Hong Kong YWCA Tai Hon Fan Nursery School";1;"school";"Nursery school";"99 Queen's Road Central, Central";22.285063;114.154563;379
"The International Montessori School (Kindergarten Section)(South Horizons Campus)";3;"school";"Educational Institution";"G/F, Blocks 23 to 23A, Phase III Ap Lei Chau, Hong Kong Ap Lei Chau Hong Kong Island HK, South Horizon Drive, South Horizons";22.241687;114.148688;380
"高主教學校";0;"school";"School";"Good View Court, 21號 Robinson Rd, Mid-level";22.279188;114.152437;381
"St. Joseph's College";70;"school";"Middle school";"7 & 26 Kennedy Rd, Mid-level";22.276687;114.158688;382
"Singapore International School - Preparatory Years and Primary Section";19;"school";"School";"23 Nam Long Shan Rd, Aberdeen";22.244687;114.167188;383
"Highgate House School - The Peak";2;"school";"Kindergarten";"100 Peak Rd, The Peak";22.268063;114.151688;384
"S.K.H. Tin Wan Chi Nam Primary School";46;"school";"Primary school";"5 Tin Wan New St, Aberdeen";22.251688;114.151063;385
"The Harbour School (The Garden Campus)";1;"school";"International school";"138 Lee Chi Rd, Ap Lei Chau";22.243563;114.153188;386
"Precious Blood Primary School South Horizons";20;"school";"Primary school";"355 Ap Lei Chau Bridge Rd, South Horizons";22.244063;114.148812;388
"Malvern College Hong Kong Admissions Office";0;"school";"International school";"14/F, Club Lusitano Building, 16 Ice House Street, Central";22.279938;114.157438;389
"Future Island School";0;"school";"School";"Mid-level";22.273563;114.163563;390
"City Kids Pre School and Playgroup";2;"school";"Kindergarten";"12 Borrett Rd, Mid-level";22.274188;114.163688;391
"Victoria Shanghai Academy";49;"school";"School";"道19號 no, 香港香港仔深灣, 19 Shum Wan Rd, Aberdeen";22.241687;114.166313;393
"CDNIS";5;"school";"School";"Canadian International School, 36 Nam Long Shan Rd, Wong Chuk Hang";22.242188;114.167188;395
"Sons’ school (Tin Wan Chi Nam Primary School)";0;"school";"School";"Tin Wan";22.251938;114.151063;396
"The Woodland Harbourside Pre-School";1;"school";"Preschool";"Ocean Court Block 1, G/F,, 3 Aberdeen Praya Rd, Aberdeen";22.247188;114.158938;397
"Hong Kong Pre-School Playgroups Association";0;"school";"Special education school";"12 Borrett Rd, Mid-level";22.274063;114.163937;398
"MWM Wine School by Debra Meiburg MW";3;"school";"School";"Unit 1524, 15/F, 41 Heung Yip Road, Wong Chuk Hang, Wong Chuk Hang";22.247813;114.163187;400
"German Swiss International School - Peak Campus";2;"school";"School";"Magazine Gap, Guildford Rd, 11號Building 22 German Swiss International School (The Peak Campus) Upper Building";22.266063;114.161688;401
"Rosaryhill School";26;"school";"School";"41B Stubbs Rd";22.263688;114.182313;402
"Tang Shiu Kin Victoria Government Secondary School";9;"school";"High school";"5 Oi Kwan Rd, Morrison Hill";22.276938;114.178563;406
"Hong Kong International School - Upper Primary";11;"school";"Private school";"23 S Bay Cl, Repulse Bay";22.239063;114.201062;407
"Canadian International School";39;"school";"International school";"36 Nam Long Shan Rd, Wong Chuk Hang";22.242313;114.167313;408
"Caritas Lok Kan School";0;"school";"High school";"Wan Chai, 聖佛蘭士街42號";22.275438;114.169063;410
"Hong Kong University Graduate Association College";25;"school";"Middle school";"Hkuga College, Nam Fung Rd";22.252062;114.174938;411
"Lai Chack Middle School";14;"school";"Middle school";"180 Canton Rd, Tsim Sha Tsui";22.301438;114.168188;412
"SKH St. James' Primary School";1;"school";"School";"Hong Kong, 110 Kennedy Rd, Wan Chai";22.272688;114.173938;413
"Diocesan Girls' Junior School";24;"school";"Primary school";"1 Jordan Rd, Kowloon City";22.307313;114.172938;414
"Bradbury School";5;"school";"School";"43C Stubbs Rd";22.265938;114.179688;415
"RL School Of Dance";0;"school";"School";"T.a.l. Building, 49 號 16 樓, 45-53 Austin Rd, Yau Ma Tei";22.303313;114.169937;416
"Canton Road Government Primary School";13;"school";"Primary school";"178 Canton Rd, Tsim Sha Tsui";22.301312;114.168313;417
