"name";"reviewNum";"searchKey";"givenKey";"address";"latitude";"longitude";"id"
"Ka Ling School Of The Precious Blood";26;"school";"School";"Sham Shui Po, 海壇街280號";22.329813;114.157187;2038
"道爾頓學校";0;"school";"School";"Tai Kok Tsui, Hoi Fai Rd, 10號G/F Imperial Cullinan";22.318312;114.156188;2039
"St. Louis School";32;"school";"Middle school";"179 Third St, Sai Ying Pun";22.285938;114.138188;2040
"Ying Wa Primary School";38;"school";"Primary school";"Ying Wa Primary School, Ying Wa St, Cheung Sha Wan";22.330187;114.152938;2041
"St. Anthony's School";10;"school";"School";"King Ming Mansion, Pok Fu Lam Rd, Sai Ying Pun";22.285313;114.137563;2042
"Dalton School Hong Kong";2;"school";"School";"Tai Kok Tsui";22.318312;114.156062;2043
"Hong Kong S.k.h. Kei Oi Nursery School";1;"school";"Nursery school";"420 Lai Chi Kok Rd, Sham Shui Po";22.331313;114.157688;2044
"Sophie Kindergarten & Nursery School";2;"school";"Nursery school";"Units 8-10, UG/F, The Long Beach, 8 Hoi Fai Rd,, Tai Kok Tsui";22.320313;114.155813;2045
"Tai Kok Tsui Catholic Primary School (Hoi Fan Road)";35;"school";"Elementary school";"20 Hoi Fan Rd, Sham Shui Po";22.322062;114.155688;2046
"Hong Kong Society for the Protection of Children BOC Nursery School";3;"school";"Kindergarten";"Tai Kok Tsui, Hoi Fai Rd, 11號G/F, GIC Building";22.320188;114.157563;2047
"St. Margaret's Co-Educational English Secondary And Primary School";43;"school";"Primary school";"33 Sham Mong Rd, Cheung Sha Wan";22.330563;114.151812;2048
"Maryknoll Fathers' School (Primary Section)";1;"school";"Primary school";"Cheung Sha Wan, 海麗街3號";22.331438;114.146188;2049
"S.K.H. St Andrew's Primary School";32;"school";"Primary school";"3 Hoi Lai St, Cheung Sha Wan";22.330688;114.147438;2050
"Ying Wa College";61;"school";"Middle school";"1 Ying Wa St, Cheung Sha Wan";22.329938;114.152813;2051
"Saint Louis School (Primary Section)";12;"school";"Primary school";"179 Third St, Sai Wan";22.286188;114.138063;2052
"Laichikok Catholic Primary School";22;"school";"Primary school";"6 Hing Wah St W, Cheung Sha Wan";22.333438;114.149063;2053
"Maryknoll Fathers' School Primary Section";14;"school";"Primary school";"11 Hoi Lai St, Cheung Sha Wan";22.331438;114.145937;2054
"School";0;"school";"Special education school";"100 Sham Mong Rd, Cheung Sha Wan";22.334062;114.145563;2055
"Delia Memorial School (Glee Path)";9;"school";"High school";"1-3, Glee Path, Mei Foo Sun Chuen";22.336813;114.138938;2056
"Saint Stephen's Church College";9;"school";"Middle school";"62 Pok Fu Lam Rd, Sai Wan";22.285188;114.138188;2057
"Montessori School of Hong Kong";0;"school";"Kindergarten";"37 Pok Fu Lam Rd, Sai Wan";22.285188;114.138813;2058
"Ying Wa Girls' School";20;"school";"High and secondary schools";"101號 Castle Peak Rd, Sham Shui Po";22.333563;114.162313;2059
"San Wui Commercial Society School";19;"school";"School";"Tai Ping Shan, 居賢坊1";22.284062;114.148938;2060
"St. Paul's College";53;"school";"School";"67-69 Bonham Rd, Shek Tong Tsui";22.284688;114.138813;2061
"Delia English Primary School & Kindergarten (Kindergarten Section)";0;"school";"School";"Mei Foo Sun Chuen, Shop 138, Stage 8, Podium Floor, Mei Foo Sun Chuen";22.334938;114.141938;2063
"Shrewsbury International School Hong Kong (Admissions Office) 思貝禮國際學校 (入學部)";9;"school";"Primary school";"7/F, Bangkok Bank Building, 28 Des Voeux Road Central, Central";22.282813;114.156938;2064
"Li Sing Primary School";12;"school";"Primary school";"119 High St, Sai Wan";22.285313;114.139812;2065
"Parkview International Pre-School (Kowloon)";0;"school";"Kindergarten";"1 Austin Rd W, West Kowloon";22.305313;114.162063;2066
"Sharon Lutheran School";25;"school";"Primary school";"18 Cherry St, Tai Kok Tsui";22.318938;114.164938;2067
"Independent Schools Foundation ISF academy (Secondary)";20;"school";"International school";"The ISF Academy (Secondary School), Kong Sin Wan Rd, Pok Fu Lam";22.264563;114.129813;2068
"Tung Wah Group of Hospitals Hok Shan School";12;"school";"School";"5 Wah Lam Path, Waterfall Bay";22.252688;114.138188;2069
